z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_N2,y_N2,x_O2,y_O2,x_CO2,y_CO2,x_H2O,y_H2O
0.3975,993290.0548533165,100000.0,0.0006972028326954092,0.00015448005149759126,0.8969419252382659,0.7318953945076622,0.1030337891949052,0.26801073067633113,2.4285566828931047e-05,9.387481600648531e-05,7.041203417893949e-18,4.072289361825665e-17
0.4025,993336.1390487496,100000.0,0.0006992988371027606,0.00015658090493255036,0.896228247418199,0.7308886169343907,0.10374694176525327,0.2690160289292984,2.4810816547724375e-05,9.535413631057525e-05,8.996414782743263e-18,5.1588617176238345e-17
0.4075,993382.3636762525,100000.0,0.0007013996905377197,0.00015868663241641134,0.8955112790636551,0.7298800134064325,0.10446337301284153,0.27002312658063016,2.5347923503254446e-05,9.686001293762694e-05,1.1517113798365898e-17,6.548717086216739e-17
0.4125,993428.7290808939,100000.0,0.0007035054180215807,0.0001607972589551214,0.8947910253905108,0.7288696022779056,0.1051830774698929,0.27103200481590956,2.5897139596312252e-05,9.839290618467517e-05,1.4772091353906133e-17,8.32947582018583e-17
0.4175,993475.2356094827,100000.0,0.0007056160445602907,0.00016291280953789947,0.8940674918169196,0.7278574020055535,0.10590604946164474,0.2720426447111129,2.6458721435597673e-05,9.995328333346464e-05,1.898181964516148e-17,1.0614782035378715e-16
0.4225,993521.8836105663,100000.0,0.0007077315951430688,0.0001650333091358585,0.8933406839632051,0.7268434311469115,0.10663228310638723,0.2730550272343581,2.7032930407621106e-05,0.00010154161873009358,2.4434612572370878e-17,1.3552210739276801e-16
0.4275,993568.6734344276,100000.0,0.0007098520947410278,0.00016715878270062614,0.8926106076517191,0.7258277083584636,0.10736177231553361,0.274069133247671,2.762003274721146e-05,0.00010315839386500614,3.15079291900105e-17,1.7333623632868248e-16
0.4325,993615.6054330829,100000.0,0.0007119775683057955,0.00016928925516296648,0.8918772689066687,0.7248102523937795,0.10809451079372254,0.2750849435087671,2.822029960862665e-05,0.00010480409745332225,4.0696481525318286e-17,2.2208744170117715e-16
0.4375,993662.6799602793,100000.0,0.0007141080407681358,0.0001714247514314044,0.8911406739539101,0.7237910821016399,0.10883049203895259,0.2761024386728449,2.8834007137262127e-05,0.00010647922551549444,5.2649351544321504e-17,2.8502968288848326e-16
0.4425,993709.8973714911,100000.0,0.0007162435370365737,0.00017356529639084913,0.8904008292207093,0.7227702164241452,0.10956970934274886,0.27712159929439595,2.946143654195291e-05,0.00010818428145828414,6.821904520671782e-17,3.6640752396894033e-16
