z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_fast,y_fast,x_mid,y_mid,x_slow,y_slow
0.225,1000000.0,164785.8575182924,0.0012148869494960184,0.0002579153321200907,2.9593844674482165e-06,1.2510395609863737e-05,0.07170417354299262,0.21461258031896574,0.92829286707254,0.7853749092854246
0.227,1000000.0,164758.82064106435,0.0012174527149119646,0.00026048812503489803,3.034546016997354e-06,1.2780408149583763e-05,0.07221195360610518,0.21560210285185705,0.9277850118478779,0.7843851167399929
0.229,1000000.0,164731.51146304977,0.001220025507826772,0.00026306800898537915,3.1121791962171902e-06,1.305829941306427e-05,0.07272352175672143,0.21659611298299106,0.9272733660640823,0.783390828717596
0.231,1000000.0,164703.92910531434,0.001222605391777253,0.00026565504794507104,3.192374499431164e-06,1.334432975413201e-05,0.07323889853207462,0.2175946124595943,0.926757909093426,0.7823920432106511
0.233,1000000.0,164676.0726802836,0.001225192430736945,0.00026824930632479086,3.2752259222350104e-06,1.3638768694786201e-05,0.07375810442113236,0.21859760271690817,0.9262386203529454,0.7813887585143967
0.235,1000000.0,164647.94129167555,0.0012277866891166648,0.00027085084897315165,3.3608311006502276e-06,1.3941895258108206e-05,0.07428115986126375,0.21960508487464078,0.9257154793076355,0.7803809732301009
0.237,1000000.0,164619.53403443258,0.0012303882317650256,0.00027345974117703173,3.4492914558458223e-06,1.425399831334891e-05,0.07480808523486378,0.22061705973343734,0.9251884654736804,0.7793686862682494
0.239,1000000.0,164590.84999465328,0.0012329971239689057,0.0002760760486619991,3.540712344648845e-06,1.4575376933633403e-05,0.07533890086593586,0.2216335277713674,0.9246575584217196,0.7783518968516989
0.241,1000000.0,164561.88824952365,0.001235613431453873,0.0002786998375926905,3.6352032160726985e-06,1.4906340766737818e-05,0.0758736270166324,0.22265448914043084,0.9241227377801515,0.7773306045188025
0.243,1000000.0,164532.64786724807,0.0012382372203845644,0.0002813311745731452,3.7328777741009815e-06,1.5247210419409175e-05,0.07641228388375369,0.22367994366308314,0.9235839832384722,0.7763048091264977
0.245,1000000.0,164503.12790697985,0.0012408685573650192,0.0002839701266470915,3.833854146973795e-06,1.5598317855715326e-05,0.07695489159520544,0.22470989082878284,0.9230412745506477,0.7752745108533612
0.247,1000000.0,164473.32741875137,0.0012435075094389654,0.00028661676129818753,3.938255063232834e-06,1.5960006809928994e-05,0.07750147020641512,0.22574432979055922,0.9224945915385216,0.7742397102026305
0.249,1000000.0,164443.2454434039,0.0012461541440900615,0.00028927114645021384,4.0462080347914376e-06,1.6332633214467293e-05,0.0780520396967074,0.2267832593616049,0.9219439140952578,0.7732004080051802
0.251,1000000.0,164412.88101251685,0.0012488085292420878,0.00029193335046721924,4.1578455473058504e-06,1.6716565643426138e-05,0.07860661996563913,0.2278266780118918,0.9213892221888135,0.7721566054224644
0.253,1000000.0,164382.23314833696,0.0012514707332590932,0.00029460344215361813,4.273305258134552e-06,1.711218577226739e-05,0.07916523082929391,0.22887458386481255,0.920830495865448,0.7711083039494149
0.255,1000000.0,164351.3008637068,0.001254140824945492,0.00029728149075424,4.392730202183291e-06,1.7519888854235914e-05,0.07972789201653684,0.22992697469384943,0.9202677152532609,0.7700555054172964
0.257,1000000.0,164320.0831619931,0.001256818873546114,0.000299967565954331,4.51626900594485e-06,1.7940084214103238e-05,0.08029462316522983,0.23098384791926926,0.9197008605657643,0.7689982119965165
0.259,1000000.0,164288.57903701448,0.001259504948746205,0.00030266173787950464,4.64407611005417e-06,1.8373195759855258e-05,0.08086544381840749,0.23204520060484984,0.9191299121054824,0.7679364261993905
0.261,1000000.0,164256.7874729691,0.0012621991206713786,0.0003053640770956473,4.776312000691628e-06,1.8819662512961847e-05,0.0814403734204146,0.2331110294546332,0.9185548502675848,0.7668701508828534
0.263,1000000.0,164224.70744436161,0.0012649014598875212,0.00030807465460876854,4.913143450179714e-06,1.927993915788892e-05,0.08201943131300493,0.23418133080971426,0.9179756555435448,0.7657993892511276
0.265,1000000.0,164192.33791592994,0.0012676120374006425,0.00031079354186480917,5.054743767131444e-06,1.9754496611534418e-05,0.0826026367314026,0.23525610064505678,0.9173923085248302,0.7647241448583316
0.267,1000000.0,164159.67784257155,0.001270330924656683,0.0003135208107493938,5.201293056522128e-06,2.024382261329441e-05,0.08319000880032551,0.2363353345663469,0.916804789906618,0.7636444216110394
0.269,1000000.0,164126.72616926947,0.0012730581935412677,0.0003162565335875369,5.352978490070146e-06,2.074842233648794e-05,0.0837815665299724,0.23741902780687893,0.9162130804915375,0.7625602237707848
0.271,1000000.0,164093.4818310178,0.0012757939163794108,0.0003190007831432982,5.5099945873267e-06,2.1268819021894552e-05,0.08437732881197309,0.23850717522447734,0.9156171611934396,0.761471555956501
0.273,1000000.0,164059.94375274685,0.0012785381659351721,0.00032175363261938877,5.672543507889436e-06,2.1805554634183387e-05,0.08497731441530303,0.23959977129845567,0.9150170130411891,0.7603784231469098
0.275,1000000.0,164026.11084924807,0.0012812910154112627,0.0003245151556567253,5.8408353551702075e-06,2.2359190542038992e-05,0.08558154198216264,0.24069681012661379,0.9144126171824821,0.759280830682844
0.277,1000000.0,163991.98202509826,0.0012840525384485992,0.0003272854263339384,6.015088492163229e-06,2.2930308222815532e-05,0.0861900300238217,0.24179828542227227,0.9138039548876862,0.7581787842695049
0.279,1000000.0,163957.5561745837,0.0012868228091258123,0.00033006451916682805,6.195529869676336e-06,2.351950999257918e-05,0.0868027969164298,0.24290419051134818,0.9131910075537005,0.7570722899786592
